artist,album
BrockHampton,iridescence
Lil Uzi Vert,Luv Is Rage 2
Lil Uzi Vert,Lil Uzi Vert Vs. The World
Lil Uzi Vert,The Perfect LUV Tape
N*E*R*D,No_One Ever Really Dies
Kodak Black,Project Baby Two
Kodak Black,Heart Break Kodak
Kodak Black,Painting Pictures
Boosie BadAzz,BooPac
Boosie BadAzz,In My Feelings. ( Goin' Thru It )
Boosie BadAzz,Out My Feelings In My Past
Boosie BadAzz,Thug Talk
Boosie BadAzz,Bleek Mode: Thug In Peace Lil Bleek
Boosie BadAzz,Touch Down 2 Cause Hell
Boosie BadAzz,Life After Deathrow
Big Sean & Metro Boomin,Double Or Nothing
"21 Savage, Offset & Metro Boomin",Without Warning
Lil Pump,Lil Pump
A Boogie Wit da Hoodie,The Bigger Artist
Migos,Culture
Migos,Culture II
Migos,No Label II
Migos,Yung Rich Nation
A$AP Ferg,Still Striving
A$AP Ferg,Trap Lord
A$AP Ferg,Always Strive And Prosper
21 Savage,Issa Album
Sho Baraka,Talented 10th
Wax,Continue
Kid Ink,My Own Lane
Kid Ink,Full Speed
Kid Ink,Almost Home (EP)
Andy Mineo,Heroes For Sale
Andy Mineo,Never Land (EP)
Andy Mineo,Uncomfortable
Joey Bada$$,B4.Da.$$
Joey Bada$$,All-Amerikkkan Bada$$
Fabolous,The Young OG Project
Hoodie Allen,People Keep Talking
ScHoolboy Q,Oxymoron
ScHoolboy Q,Blank Face LP
Blaze Ya Dead Homie,The Casket Factory
FUTURISTIC & Devvon Terrell,Coast 2 Coast
Mike Stud,These Days
Mike Stud,Relief
Mike Stud,Closer
Social Club Misfits,The Misadventures Of Fern & Marty
PnB Rock,GTTM: Goin Thru The Motions
MO3,4 Indictments
MO3,Shottaz Reloaded
Nick Grant,Return Of The Cool
Pink Guy,Pink Season
6LACK,FREE 6LACK
Lil Skies,Life Of A Dark Rose
Huncho Jack,"Huncho Jack, Jack Huncho"
Russ,There's Really A Wolf
Dave East,P2
Dave East,Kairi Chanel
Joe Budden,No Love Lost
Joe Budden,All Love Lost
Gucci Mane/DJ Scream/DJ SPinz,Trap God 2
Brotha Lynch Hung,Mannibalector
Young Jeezy,TM:103: Hustlerz Ambition
Moonshine Bandits,Calicountry
Isaiah Rashad,Cilvia: Demo
Isaiah Rashad,The Sun's Tirade
Dee-1,3's Up EP
Twiztid,The Darkness
Datin,The Roar
Statik Kxng,Statik Kxng
Young Thug,I'm Up
Young Thug,Barter 6
Young Thug,Slime Season 3
Young Thug,BEAUTIFUL THUGGER GIRLS
Young Thug,JEFFERY
Young Thug,On The Rvn!! (EP)
Big Sean,I Decided.
Big Sean,Dark Sky Paradise
Big Sean,Hall Of Fame
Chance The Rapper,Coloring Book
21 Savage & Metro Boomin,Savage Mode
Nipsey Hussle,Victory Lap
Moneybagg Yo,2 Heartless
Moneybagg Yo,Federal 3X
Young Dolph,N****s Get Shot Everyday (EP)
Young Dolph,Role Model
Swollen Members,Beautiful Death Machine
Swollen Members,Brand New Day
Watsky,Cardboard Castles
Watsky,All You Can Do
Trinidad James,Don't Be S.A.F.E.
Legz Diamond & The Purple Gang,9 Pistolas
Young Money,Rise Of An Empire
Freddie Gibbs & Madlib,Pinata
Wisin,El Regreso del Sobreviviente
Wisin,Los Vaqueros: La Trilogia
Chris Brown & Tyga,Fan Of A Fan: The Album
G Unit,The Beast (EP)
G Unit,The Beauty Of Independence (EP)
BADBADNOTGOOD & Ghostface Killah,Sour Soul
Cardi B,"Gangsta Bitch Music, Vol. 1"
Cardi B,Invasion Of Privacy
Lil Dicky,Professional Rapper
NAV,NAV
NAV,Reckless
XXXTENTACION,?
XXXTENTACION,Revenge
Lil Yachty,Lil Boat 2
Lil Yachty,Teenage Emotions
Lil Yachty,Nuthin' 2 Prove
6ix9ine,DAY69
Tory Lanez,Memories Don't Die
Tory Lanez,I Told You
Diplo,California (EP)
Tyga,Hotel California
Wiz Khalifa & Curren$Y,Live: In Concert (EP)
"Tyler, The Creator",Wolf
"Tyler, The Creator",Cherry Bomb
"Tyler, The Creator",Flower Boy
N.O.R.E. a.k.a. P.A.P.I.,Student Of The Game
Styles P,Float
Dizzy Wright,State Of Mind (EP)
Dizzy Wright,The Golden Age
Da' T.R.U.T.H.,Heartbeat
Pharoahe Monch,PTSD: Post Traumatic Stress Disorder
Chuck Inglish,Convertibles
Mobb Deep,The Infamous... Mobb Deep
Atmosphere,The Lake Nokomis: Maxi Single (EP)
Atmosphere,Southsiders
Atmosphere,Fishing Blues
Sage The Gemini,Remember Me
Sage The Gemini,Gas Pedal: The EP
Rico Love,Discrete Luxury (EP)
Ludacris,Ludaversal
Earl Sweatshirt,"I Don’t Like Shit, I Don’t Go Outside: An Album By Earl Sweatshirt"
Earl Sweatshirt,Doris
Action Bronson,Mr. Wonderful
Berner & B-Real,Prohibition Part 2
Berner & B-Real,Prohibition (EP)
Berner & B-Real,"Prohibition, Part 3"
B-Legit,What We Been Doin
Bodega BAMZ,Sidewalk Exec...
"Royce da 5'9""",Layers
J Dilla,The Diary
Boosie BadAzz And C-Murder,Penitentiary Chances
TWENTY88,TWENTY88
DJ Quik Problem,Rosecrans (EP)
King Lil G,Lost In Smoke 2
Playboi Carti,Playboi Carti
Playboi Carti,Die Lit
Rich The Kid,The World Is Yours
Famous Dex,Dex Meets Dexter
Eve,Lip Lock
Talib Kweli,Prisoner Of Conscious
LL Cool J,Authentic
Rittz,The Life And Times Of Jonny Valiant
Rittz,Top Of The Line
Rittz,Next To Nothing
Lenny Cooper,Mud Dynasty
The Roots,...And Then You Shoot Your Cousin
Shai Linne,Lyrical Theology: Part 2: Doxology
Blu,Good To Be Home
Reconcile,Sacrifice
People Under The Stairs,12 Step Program
Murs,Have A Nice Life
YelaWolf,Love Story
Twista / Do Or Die,Withdrawal (EP)
FUTURISTIC,The Rise
Aesop Rock,Impossible Kid
Astronautalis,Cut The Body Loose
Lil Baby,Harder Than Ever
Juice WRLD,Goodbye & Good Riddance
"Rae Sremmurd, Swae Lee & Slim Jxmmi",SR3MM
Tee Grizzley,Activated
KYLE,Light Of Mine
YoungBoy Never Broke Again,Until Death Call My Name
YoungBoy Never Broke Again,AI YoungBoy
YoungBoy Never Broke Again,4Respect 4Freedom 4Loyalty 4WhatImportant
YoungBoy Never Broke Again,Decided
BlocBoy JB,Simi
The Lonely Island,The Wack Album
The Lonely Island,Popstar: Never Stop Never Stopping (Soundtrack)
French Montana,Excuse My French
French Montana,Jungle Rules
Quasimoto,Yessir Whatever
Statik Selektah,Extended Play
Statik Selektah,#WHATGOESAROUND
Freddie Gibbs,ESGN
JSon,Braille
50 Cent,Animal Ambition: An Untamed Desire To Win
Big Smo,Kuntry Livin'
Big Smo,Bringin It Home (EP)
MAYDAY X Murs!,Mursday!
Tedashii,Below Paradise
Matisyahu,Akeda
Don Omar,Last Don II
The Lacs,Outlaw In Me
The Lacs,Keep It Redneck
The Lacs,Nothing In Particular
Lil Durk,Remember My Name
CZARFACE,Every Hero Needs A Villain
Troy Ave,Major Without A Deal
Slum Village,YES!
Mozzy,Mandatory Check
Juicy J Wiz Khalifa,TGOD Mafia: Rude Awakening
Vic Mensa,There's Alot Going On (EP)
Apathy,Handshakes With Snakes
2Pac,Greatest Hits
The Carters,EVERYTHING IS LOVE
Jay Rock,Redemption
Jay Rock,90059
KIDS SEE GHOSTS,KIDS SEE GHOSTS
Lecrae X Zaytoven,Let The Trap Say Amen
Ace Hood,Trials & Tribulations
MAYDAY!,Believers
Lil Wyte / Jelly Roll,No Filter
Lil' Keke,Money Don't Sleep
RiFF RaFF,Neon Icon
AB-Soul,These Days...
B. Cooper,While The City Sleeps
Slim Thug,"Hogg Life, Vol. II: Still Surviving"
Slim Thug,American King
Slim Thug,Boss Life
Fronzilla,Party People's Anthem
Berner & The Jacka,Drought Season 3
Vince Staples,Summertime '06
Vince Staples,Hell Can Wait (EP)
Jake Miller,Rumors... (EP)
Spose,Why Am I So Happy?
Z-Ro,Drankin & Drivin
Z-Ro,Legendary
Snoop Dogg,Coolaid
Shy Glizzy,Young Jefe 2
Dreezy,No Hard Feelings
Kosha Dillz,What I Do All Day & Pickle
Dirt Nasty,Palatial
Twista,Dark Horse
Common,Nobody's Smiling
Common,Black America Again
Slaine,The King Of Everything Else
Dilated Peoples,Directors Of Photography
The Underachievers,Cellar Door: Terminus Ut Exordium
Chinx,Welcome To JFK
Aer,One Of A Kind
Hopsin,Pound Syndrome
Hopsin,Knock Madness
Upchurch,Chicken Willie
Upchurch,King Of Dixie
The Lacs & Hard Target: Racket Country,Welcome To Dodge City
NAV And Metro Boomin,Perfect Timing
Trippie Redd,Life's A Trip
Amine,ONEPOINTFIVE
Prozak,We All Fall Down
Derek Minor,Minorville
Derek Minor,Reflection
Goodie Mob,Age Against The Machine
Stalley,Honest Cowboy (EP)
Stalley,Ohio
Joell Ortiz,House Slippers
Plan B,Love & Sex
J Balvin,La Familia
Scarface,Deeply Rooted
Marty,Marty For President (EP)
K Camp,Only Way Is Up
De La Soul,and the ANONYMOUS NOBODY
Clipping.,Splendor & Misery
MOBB,The MOBB (EP)
A$AP Mob,"Cozy Tapes, Vol. 2: Too Cozy"
A$AP Mob,"Cozy Tapes, Vol. 1: Friends"
Dom Kennedy,Get Home Safely
Timeflies,Warning Signs (EP)
Young Dro,High Times
Starlito / Don Trip,Step Brothers Two
DJ Skee Presents The Game,OKE: Deluxe Edition
Danny Brown,Old
Danny Brown,Atrocity Exhibition
Nelly,M.O.
Deltron 3030,Event 2
Devin The Dude,One For The Road
DJ Quik,The Midnight Life
NehruvianDOOM,NehruvianDOOM
SPM,Son Of Norma
Prof,Liability [lahy-uh-bil-i-tee]
Big Grams,Big Grams (EP)
Cosculluela,BlancoPerla
Wu-Tang,The Saga Continues
Macklemore,GEMINI
Future & Juice WRLD,Future & Juice WRLD Present... WRLD ON DRUGS
Lil Baby & Gunna,Drip Harder
Quavo,Quavo Huncho
Lil Mosey,Northsbest
Sheck Wes,Mudboy
Webbie,Savage Life 4
Sammy Adams,Homecoming (EP)
Arcangel,"Sentimiento, Elegancia & Maldad"
Bun-B,Trill O.G.: The Epilogue
D-WHY,"Young, Loved, Hated & Broke EP"
Death Grips,No Love Deep Web
Yandel,De Lider A Leyenda
Azealia Banks,Broke With Expensive Taste
Bobby Shmurda,Shmurda She Wrote (EP)
Redman,Mudface
Lex The Hex Master,Contact
Future & Young Thug,Super Slimey
